REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,MONTH,YEAR,DEPTH,SEVERITY_CODE,BLEACHING_SEVERITY,CORAL_FAMILY,CORAL_SPECIES,PERCENTAGE_AFFECTED,BLEACHING_DURATION,MORTALITY_CODE,MORTALITY,RECOVERY_CODE,RECOVERY,SURVEY_TYPE,SURVEY_AREA,WATER_TEMPERATURE,OTHER_FACTORS,REMARKS
Africa,Eastern Africa,Kenya,Sii island corner,-4.666667,39.28333,4,2010,1.2-2m,3,HIGH,,"Platygyra, Galaxea fascicularis, echinopora, favia, a cropora, leptoria, fungia, stylophora",73%,,,,,,,,,,"19 Genera Affected. Among the dominant group, Platygyra, Galaxea fascicularis, echinopora, favia, acropora, leptoria and others were affected while the rare group included fungia, stylophora.
Extensive paling of most corals with the small-sized being the whole bleached colonies.small fungi corals were the most noticeable affected by bleaching.
Previously coral bleaching was also observed in this area"
Africa,Eastern Africa,Mozambique,"Baixo de St. Antonio, Angoche",-16.02,40.13,3,1999,3-7m,1,Low,,,1.00,,,,,,Visual assessments and random video photo quadrats,,,,"Some evidence (<2%) of current bleaching.
Fringing reef subject to considerable surge and surf at 3-7 m depth with
marked spur and groove formations manifesting the original dune rock
structure. Evidence of bleaching the current year."
Africa,Eastern Africa,Mozambique,Bazaruto Island,-21.66666667,35.5,,1998,1-8,2,Medium,,,20-80,,,,,,,,,,Moderate bleaching
Africa,Eastern Africa,Mozambique,"Coral Garden (Ponta da Barra), Inhambane",-23.78,35.516,3,1999,1-5m,1,Low,,Acropora sp.,0.50,,,,,,Visual assessments and random video photo quadrats,,,,"Current bleaching <1%.
A wave cut beach rock platform
exposed to surge and surf at 1-5m
Dominated by tabular staghorn and
soft corals."
Africa,Eastern Africa,Mozambique,"Lighthouse Reef, Inner Two-Mile Reef",-21.516,35.483,3,1999,1-3.5m,1,Low,,,1%,,,,,,Visual assessments and random video photo quadrats,,,,"Current bleaching ~1%.
Partially sheltered mixed coral community, 1-3.5 m deep, on the landward side of a fringing rock reef north of Bazaruto lighthouse. Coral
cover and community structure variable according to degree exposure and sedimentation on the reef. This ranged from monospecific outcrops of large staghorn corals to sparse cover of sediment tolerant
faviids and soft corals. Little present or past bleaching. Fish community
commensurately rich and abundant."
Africa,Eastern Africa,Mozambique,Mafamede Island,-16.33333333,40,,1998,3-7,1,Low,,,20,,,,,,,,,, Minimal bleaching
Africa,Eastern Africa,Mozambique,"Mafamede Island, Angoche",-16.03,40.05,3,1999,3-7m,1,Low,,,1.00,,,,,,Visual assessments and random video photo quadrats,,,,Little evidence (<2%) of current bleaching.
Africa,Eastern Africa,South Africa,"2 Mile Reef, Sodwana Bay",-27.526,32.688,12,2000,10-15m,1,Low,,Refer to Table,1.33%,,0,,,,"Belt transects, 5m long and 1m wide, were used, A 0.5mX1m metal quadrat, subdivided into
10 cmX10 cm squares, was placed at 0.5m intervals along the transects and the
transects were, in turn, placed randomly along the reef’s surface.",,25–27 8C (summer),,"During summer (December) , relatively low numbers of coral taxa (9) and coral colonies (89) were bleached (Table). The soft coral Sarcophyton was the taxon most susceptible to bleaching with 100% colonies severely bleached (71–100% surface area of individual colonies bleached). However, no mortalities of these colonies were recorded. The majority of the remaining taxa were only slightly
bleached (1–30% of individual colonies bleached).
<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>"
Africa,Eastern Africa,South Africa,"2 Mile Reef, Sodwana Bay",-27.526,32.688,9,2001,10-15m,1,Low,,Refer to Table,4.67%,,1,,,,"Belt transects, 5m long and 1m wide, were used, A 0.5mX1m metal quadrat, subdivided into
10 cmX10 cm squares, was placed at 0.5m intervals along the transects and the
transects were, in turn, placed randomly along the reef’s surface.",,21-23C (winter),,"In contrast to summer (Dec 2000), many more coral taxa and coral colonies were recorded bleached during late summer (march 2001)(21 and 290, respectively) and winter (Sept/Oct 2001) (25 and 557, respectively) (Table). Although the majority of the affected taxa were
recorded in the severely bleached category, mortality was low. Porites was highly susceptible to bleaching, with 75% of the bleached colonies being 71–100% bleached. Of the Alcyonacea, Sarcophyton was the most susceptible taxon to bleaching, with 88% of bleached colonies being severely bleached. Although more coral taxa were bleached during winter than during late summer, there was a marked reduction in the number of taxa that were severely bleached
(Table). However, more taxa suffered mortalities during winter compared to late summer. Sarcophyton was again the most susceptible taxon to bleaching, with 60% of the bleached colonies being severely bleached. 
<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>"
Africa,Eastern Africa,South Africa,"2 Mile Reef, Sodwana Bay",-27.526,32.688,3,2001,10-15m,1,Low,,Refer to Table,5.67%,,1,,,,"Belt transects, 5m long and 1m wide, were used, A 0.5mX1m metal quadrat, subdivided into
10 cmX10 cm squares, was placed at 0.5m intervals along the transects and the
transects were, in turn, placed randomly along the reef’s surface.",,25–27 8C (Summer),,"In contrast to summer (Dec 2000), many more coral taxa and coral colonies were recorded bleached during late summer (March 2001)(21 and 290, respectively) and winter (Sept/Oct 2001) (25 and 557, respectively) (Table). Although the majority of the affected taxa were
recorded in the severely bleached category, mortality was low. Porites was highly susceptible to bleaching, with 75% of the bleached colonies being 71–100% bleached. Of the Alcyonacea, Sarcophyton was the most susceptible taxon to bleaching, with 88% of bleached colonies being severely bleached.  
<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>"
Africa,Eastern Africa,South Africa,"5 Mile Reef, Sodwana Bay",-27.478,32.7017,12,2000,17-21m,1,Low,,Refer to Table,3.0%,,,,,,"Belt transects, 5m long and 1m wide, were used, A 0.5mX1m metal quadrat, subdivided into
10 cmX10 cm squares, was placed at 0.5m intervals along the transects and the
transects were, in turn, placed randomly along the reef’s surface.",,25–27 8C (Summer),,"Sarcophyton was the most susceptible and frequently encountered bleached taxon during summer, with 46% of its colonies recorded as 100% bleached (Table).
<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>"
Africa,Eastern Africa,South Africa,"5 Mile Reef, Sodwana Bay",-27.478,32.7017,3,2001,17-21m,1,Low,,Refer to Table,4.2%,,0,,,,"Belt transects, 5m long and 1m wide, were used, A 0.5mX1m metal quadrat, subdivided into
10 cmX10 cm squares, was placed at 0.5m intervals along the transects and the
transects were, in turn, placed randomly along the reef’s surface.",,25–27 8C (Summer),,"Sixteen coral taxa were bleached during late summer (March 2001) (Table). The majority of taxa affected during late summer had colonies that were only slightly or moderately bleached (0–70%), with no mortalities being recorded. The faviids comprised a quarter of the bleached taxa, but the majority of colonies were only slightly bleached. In contrast, Lobophytum appeared to be highly susceptible to bleaching, with 75% of colonies severely affected (71–100%).
<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>"
Africa,Eastern Africa,South Africa,"5 Mile Reef, Sodwana Bay",-27.478,32.7017,9,2001,17-21m,1,Low,,Refer to Table,1.6%,,,,,,"Belt transects, 5m long and 1m wide, were used, A 0.5mX1m metal quadrat, subdivided into
10 cmX10 cm squares, was placed at 0.5m intervals along the transects and the
transects were, in turn, placed randomly along the reef’s surface.",,21-23C (winter),,"Many coral taxa were bleached during winter (24) compared to summer.  The majority of bleached taxa during winter were only slightly
bleached (Table). However, this was the only season in which mortalities were recorded. Most of the bleached taxa were in the Faviidae, but the taxa with the largest proportions of colonies severely bleached were in the Acroporidae. Although no dead Sarcophyton colonies were recorded, fewer live and bleached colonies were seen on the reef during winter, possibly because colonies had died, even
though no remains were observed.
<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>"
Africa,Eastern Africa,South Africa,"7 Mile Reef, Sodwana Bay",-27.478,32.7017,12,2000,15-18m,1,Low,,Refer to Table,3.25%,,1,"Montipora was the most affected taxon, with 50% of the bleached colonies recorded as dead.",,,"Belt transects, 5m long and 1m wide, were used, A 0.5mX1m metal quadrat, subdivided into
10 cmX10 cm squares, was placed at 0.5m intervals along the transects and the
transects were, in turn, placed randomly along the reef’s surface.",,25–27 8C (Summer),,"Only five coral taxa were bleached during summer on 7-MR (Table).
Montipora was the most affected taxon, with 50% of the bleached colonies recorded as dead. This was the only taxon in which mortality was observed during summer.
<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>"
Africa,Eastern Africa,South Africa,"7 Mile Reef, Sodwana Bay",-27.478,32.7017,3,2001,15-18m,1,Low,,Refer to Table,3.75%,,0,,,,"Belt transects, 5m long and 1m wide, were used, A 0.5mX1m metal quadrat, subdivided into
10 cmX10 cm squares, was placed at 0.5m intervals along the transects and the
transects were, in turn, placed randomly along the reef’s surface.",,25–27 8C (Summer),,"Sixteen coral taxa were bleached during late summer (Table). The majority of taxa affected during late summer had colonies that were
only slightly or moderately bleached (0–70%), with no mortalities being recorded. The faviids comprised a quarter of the bleached taxa, but the majority of colonies were only slightly bleached. In contrast, Lobophytum appeared to be highly susceptible to bleaching, with 75% of colonies severely affected (71–100%).
<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>"
Africa,Eastern Africa,South Africa,"7 Mile Reef, Sodwana Bay",-27.478,32.7017,9,2001,15-18m,1,Low,,Refer to Table,2.75%,,1,Four taxa suffered mortalities. The Alcyonacea were highly susceptible to bleaching as two out of the three bleached taxa (Lobophytum and Sinularia ) were recorded with mortalities.,,,"Belt transects, 5m long and 1m wide, were used, A 0.5mX1m metal quadrat, subdivided into
10 cmX10 cm squares, was placed at 0.5m intervals along the transects and the
transects were, in turn, placed randomly along the reef’s surface.",,21-23C (winter),,"During winter, the majority of bleached corals had a high proportion of only slightly bleached colonies (Table 3) and four taxa suffered mortalities. The Alcyonacea were highly susceptible to bleaching as two out of the three bleached taxa (Lobophytum and Sinularia ) were recorded with mortalities.
<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>"
Africa,Eastern Africa,South Africa,"Four-Mile Reef, Sodwana Bay",-27.506,32.692,3,2000,18-24m,0,No Bleaching,,A. hyacinthus and A. austera,1.00,Starting in April 2000,,,,,Parallel transects 15–20 m in length using visual and video.,,Max. 27.5 and 28.4 C,"2000 summer season was characterised by exceptionally
calm and clean water with a horizontal visibility on the
reefs of approximately 30 m.",Bleached colonies rare (<1%).
Africa,Eastern Africa,South Africa,"Seven-Mile Reef, Sodwana Bay",-27.422,32.739,3,2000,,0,No Bleaching,,,0,,0,,,,Parallel transects 15–20 m in length using visual and video.,,Max. 27.5 and 28.4 C,,No bleaching observed.
Africa,Eastern Africa,South Africa,"Two-Mile Reef, Sodwana Bay",-27.526,32.688,3,2000,"6-10m pinnacle, 24-27m fore reef",1,Low,,"M. aequituberculata, M. monasteriata and
M. tuberculosa (55:0 +-24:4% of all the Montipora
colonies), A. spongiosa and A. clathrata. The
Alcyoniidae S. dura, L. depressum and to a lesser
extent L. patulum,  sponge S. kelleri",15.00,Starting in April 2000,,,,,Parallel transects 15–20 m in length using visual and video.,,Max. 27.5 and 28.4 C,"2000 summer season was characterised by exceptionally
calm and clean water with a horizontal visibility on the
reefs of approximately 30 m.","Patchy bleaching, primarily of scleractinian corals (12:2 +- 5:2% of the
total reef cover). 47:1 +- 16:5% of the bleached corals were completely
while 44:3 +- 17:4% were partially bleached. Only 4:6 +- 8:5% of the bleached
corals manifested bacterial infections. 28:9 +- 24:9% of the colonies were
protected by shading and manifested signs of photosensitivity."
Africa,Eastern Africa,Tanzania,"Site 1 & 2,  Changuu, Zanzibar",-6.1203,39.1654,5,2010,5 m,2,Medium,,"Acropora sp., Coscinarea sp., Echinophyllia sp., Echinopora sp., Fungia sp., Galaxea astreata, Galaxea fascicularis, Herpolitha, Hydnophora sp., Pavona sp., Physogyra sp., Platygyra sp., Plerogyra sp., Pocillopora sp., Porites branching, Porites massive, Seriatopora sp., Synarea sp.",27.94%,,0,% live coral now dead - 3.16%,,,,,,,
Africa,Eastern Africa,Tanzania,"Site 1, BAWE, Zanzibar",-6.1481,39.1304,5,2010,2 m,2,Medium,,"Acropora sp., Astreopora sp., Coscinarea sp., Echinopora sp., Favia sp., Favites sp., Fungia sp., Galaxea astreata, Galaxea fascicularis, Goniastrea sp., Goniopora sp., Hydnophora sp., Lobopyllia sp., Merulina sp., Millepora sp., Montipora, Mycedium sp.,  Oxypora sp., Pachyseris sp., Pavona sp., Physogyra sp., Platygyra sp., Pocillopora sp., Porites branching, Porites massive, Seriatopora sp., Stylophora sp., Synarea sp., Turbinaria sp.,",23.4%,,,% live coral now dead - 2.43%,,,,,,,
Africa,Eastern Africa,Tanzania,"Site 2, BAWE, Zanzibar",-6.1482,39.1303,5,2010,,2,Medium,,"Acropora sp., Coscinarea sp., Cyphastrea sp., Echinopora sp., Fungia sp., Galaxea astreata sp., Galaxea fascicularis, Goniastrea sp., Lobopyllia sp., Millepora sp., Montipora sp., Mycedium sp., Pachyseris sp., Pavona sp., Pocillopora sp., Porites branching, Porites massive, Psammacora sp., Seriatopora sp., Stylophora sp., Synarea sp.,",25.74%,,,% live coral now dead - 5.33%,,,,,,,
Africa,Eastern Africa,Tanzania,"Site 3, BAWE, Zanzibar",-6.1483,39.1302,5,2010,2 m,2,Medium,,"Acropora sp., Coscinarea sp., Echinophyllia sp., Echinopora sp., Favia sp., Favites sp., Fungia sp., Galaxea astreata, Galaxea fascicularis, Halomitra sp., Herpolitha sp., Hydnophora sp., Leptoria sp., Millepora sp., Montipora sp., Mycedium sp., Oxypora sp., Pachyseris sp., Pavona sp., Platygyra sp., Pocillopora sp., Porites branching, Porites massive,  Stylophora sp., Synarea sp.,",20.53%,,,% live coral now dead - 1.93 %,,,,,,,
Africa,Eastern Africa,Tanzania,"Site 3, CHUMBE, Zanzibar",-6.2786,39.1782,5,2010,8 m,1,Low,,"Acanthastrea sp., Acropora sp., Astreopora sp., Diploastrea sp., Echinopora sp., Favia sp., Favites sp., Fungia sp., Galaxea astreata , Galaxea fascicularis, Gardinoseris sp., Goniastrea sp., Goniopora sp., Halomitra sp., Heliopora sp., Herpolitha sp., Hydnophora sp., Leptastrea sp., Leptoria sp., Leptoseris sp., Lobopyllia sp., Merulina sp., Montipora sp., Mycedium sp., Oxypora sp., Pachyseris sp., Pavona sp., Platygyra sp., Pocillopora sp., Porites branching, Porites massive, V sp., Symphyllia sp., Synarea sp., Turbinaria sp.",12.06%,,0,,,,,,,,
Africa,Eastern Africa,Tanzania,"Site 4, BAWE, Zanzibar",-6.1484,39.1301,5,2010,2 m,2,Medium,,"Acropora sp., Coscinarea sp.,  Echinophyllia sp., Echinopora sp., Favia sp., Fungia sp., Galaxea astreata, Galaxea fascicularis, Goniopora, Hydnophora, Leptoria sp., Lobopyllia sp., Merulina sp., Montipora sp., Mycedium sp., Pavona sp., Pocillopora sp., Porites branching, Porites massive, Synarea sp.,",15.73%,,0,% live coral now dead - 0.77%,,,,,,,
Africa,Eastern Africa,Tanzania,Tutia Island,-8.116666667,39.7,4,1998,,3,HIGH,,,88,,,,,,,,,,Minimal bleaching
Africa,Southwest Indian Ocean,Comoros,Mayotte Island,-12.83333333,45.21666667,5,1983,12,3,HIGH,,,0.35,,,,,,,,,, 
Africa,Southwest Indian Ocean,Madagascar,Madagascar,-19,46.56,3,1998,,2,Medium,,,30,,,,,,,,,,"In February and March, temperatures were 32-33°C. "
Africa,Southwest Indian Ocean,Madagascar,Tampolo Marine Reserve in Antongil Bay,-18.467,49.3,3,2005,,3,HIGH,,,80% of massive corals and 50% of encrusting corals,,,,,,,,,,"We would like to report a bleaching event in north-east Madagascar. On a field trip to Tampolo Marine Reserve in Antongil Bay last week (15 - 18 March) we observed significant bleaching in shallow waters between 2 and 4 m depth. Initial estimates indicate that around 80% of massive corals and 50% of encrusting corals were bleached, either completely or partially. Between 4 and 7 metres bleaching was also seen, but to a lesser extent. 
<br>Soft corals, anemones and giant clams were also affected in shallow waters. 
Bleaching was observed at other locations in Antongil Bay, at Nosy Mangabe and at the northern mouth of the bay at Cap Masoala. 
Anecdotal reports indicate an unusually calm and rain-free period with clear skies for the first half of March."
Africa,Southwest Indian Ocean,Mauritius,Balaclava ( Arsenal Bay / Baie de L'Arsenal ),-20.1,57.5,,1998,,1,Low,,,39,,,,,,,,,, Minor bleaching; Total bleaching being 12%.
Africa,Southwest Indian Ocean,Mauritius,Mauritius,-20.13333333,57.46666667,,1998,,1,Low,,,8.00,,,,,,,,,,Minor bleaching; Temperatures were about 3°C above the normal 27°C.
Africa,Southwest Indian Ocean,Mauritius,Rodrigues (Republic of Mauritius),-16.743,63.397,3,2005,1-3 m,3,HIGH,,"Acropora digitifera, A. austera, A. abrotanoides, A. cytherea, A. clathrata, Montipora aequituberculata, Pocillopora spp., Favia stelligera, massive Porites sp., Porites rus and Platygyra daedalea",100,,,,,,,,32C,,"Initial surveys have found severe bleaching on the shallow reef flats at 1-3m depth with almost 100% of Acropora digitifera and >75% of branching (A. austera, A. abrotanoides) and tabular (A. cytherea, A. clathrata) Acropora colonies affected. <br>
Other species such as Montipora aequituberculata, Pocillopora spp., Favia stelligera, massive Porites sp., Porites rus and Platygyra daedalea exhibited partial-total bleaching as did soft corals and zoanthids (Palythoa sp.). 
<br>Bleaching was observed down to 5m depth, where it mainly affected branching and tabular Acropora species. Seawater temperatures have been measured as being up to 32oC and as in Madagascar, the area has been subjected to a period of unusually hot and calm weather. Further surveys are now being carried out to assess the extent and severity of the bleaching event around the whole island."
Africa,Southwest Indian Ocean,Mauritius,Trou d'Eau Douce Fir,-20.24833333,57.795,4,1998,,1,Low,,,25,,,,,,,,,, Minor bleaching; The few dead coral colonies had begun to be colonised by filamentous algae.
Africa,Southwest Indian Ocean,Réunion,"PlanchAlize, La Saline-les-Bains reef",-21.08,55.233,2,2001,0.4-1.0m,2,Medium,,,40.00,Feb to May 2001,1,"1-10% of hard coral died, soft coral not affected",,,,,,,"31-50% of hard coral bleached,  1-10% of soft coral bleached."
Africa,Southwest Indian Ocean,Réunion,Saint Leu,-21.158,55.289,3,2001,0.4-1.0m,1,Low,,,6.00,March to May 2001,1,1-10% of hard coral died,,,,,,,"1-10% of hard coral bleached
Soft coral was not affected.
This site was one of the most beautiful coral site, with a dominance by the genus Acropora. But, this site was 99.9 % destroyed by the hurricane Firinga in 1989. Today, because of a huge sea urchin bioerosion, we can see a very high diversity, completed with a high growth rate of hard corals."
Africa,Southwest Indian Ocean,Réunion,"Trou d'Eau, La Saline-les-Bains",-21.0867,55.2407,2,2001,0.4-1.0m,3,HIGH,,,55.00,,3,>50% of hard coral died,,,,,,,">50% hard coral bleached.
Soft coral no affected."
Africa,Southwest Indian Ocean,Seychelles,Aldabra,-9.416666667,46.41666667,5,1998,23,3,HIGH,,,75.00,,,,,"Live coral cover at
Aldabra did not increase significantly between 1999 and 2002, although the trend is
rising from year to year suggesting recovery. GCRMN 2002",,,,,"The dead corals were covered with filamentous algae, which were expanding to cover areas of dying corals Corals at 14 sites in the Seychelles Marine Park system showed that an average of about 75% were recently dead (ranging ffrom 50% to 95%)."
